Timestamp,User Level,A1,A2,B1,B2,C1,C2
,B2 (Upper-Intermediate),1.0,0.7,0.6,1.0,0.2,0.2
,A1 (Beginner),0.2,0.1,0.0,0.0,0.0,0.0
,A2 (Elementary),0.9,0.6,0.3,0.5,0.1,0.1
,A1 (Beginner),1.0,0.7,0.7,0.7,0.6,0.3
,A2 (Elementary),0.9,0.5,0.3,0.6,0.1,0.0
,A1 (Beginner),0.3,0.1,0.0,0.1,0.0,0.0
,B2 (Upper-Intermediate),1.0,0.9,0.9,0.9,0.4,0.1
,A1 (Beginner),0.7,0.4,0.1,0.2,0.2,0.1
,A1 (Beginner),0.9,0.4,0.3,0.4,0.1,0.1
,A2 (Elementary),0.9,0.7,0.5,0.4,0.2,0.1
,B1 (Intermediate),1.0,1.0,1.0,0.9,0.6,0.4
,A2 (Elementary),1.0,0.7,0.6,0.7,0.5,0.2
,B2 (Upper-Intermediate),1.0,0.8,0.9,0.9,0.4,0.2
,B2 (Upper-Intermediate),1.0,0.9,1.0,1.0,0.5,0.6
,A2 (Elementary),1.0,0.7,0.6,0.7,0.3,0.0
,A1 (Beginner),0.7,0.5,0.1,0.6,0.2,0.2
,B1 (Intermediate),1.0,0.7,0.9,0.7,0.3,0.2
,B1 (Intermediate),1.0,0.4,0.4,0.7,0.5,0.2
,B1 (Intermediate),1.0,0.8,0.9,1.0,0.5,0.3
,B1 (Intermediate),1.0,0.9,0.7,0.9,0.3,0.3
,A1 (Beginner),1.0,0.6,0.4,0.4,0.1,0.1
,A2 (Elementary),0.8,0.6,0.3,0.5,0.2,0.2
,B1 (Intermediate),1.0,0.9,0.8,0.9,0.4,0.4
,A2 (Elementary),1.0,0.6,0.8,0.6,0.2,0.3
,B1 (Intermediate),0.9,0.3,0.0,0.4,0.1,0.0
,A2 (Elementary),1.0,0.5,0.3,0.7,0.1,0.2
,B2 (Upper-Intermediate),1.0,1.0,0.8,1.0,0.3,0.1
,B1 (Intermediate),1.0,0.7,0.6,0.6,0.2,0.0
,A2 (Elementary),1.0,0.8,0.9,1.0,0.2,0.2
,B2 (Upper-Intermediate),1.0,0.8,0.6,0.8,0.2,0.2
,A1 (Beginner),0.7,0.3,0.1,0.5,0.4,0.0
,B1 (Intermediate),1.0,0.8,0.9,0.7,0.3,0.2
,A2 (Elementary),1.0,1.0,0.9,0.8,1.0,0.4
,B2 (Upper-Intermediate),1.0,0.9,1.0,1.0,0.7,0.4
,B2 (Upper-Intermediate),0.9,0.7,0.7,0.7,0.2,0.3
,B1 (Intermediate),1.0,0.7,0.7,0.8,0.3,0.1
,A2 (Elementary),0.9,0.7,0.5,0.6,0.2,0.1
,A2 (Elementary),1.0,0.7,0.6,0.7,0.3,0.1
,A1 (Beginner),0.9,0.5,0.6,0.8,0.2,0.2
,A2 (Elementary),1.0,0.8,0.6,0.9,0.5,0.5
,A1 (Beginner),0.5,0.2,0.0,0.0,0.2,0.0
,小1 (Advanced),1.0,1.0,0.9,0.9,0.6,0.9
,B1 (Intermediate),1.0,1.0,1.0,1.0,0.6,0.4
,B2 (Upper-Intermediate),1.0,0.9,0.8,0.8,0.1,0.4
,C2 (Proficiency),1.0,1.0,1.0,1.0,0.9,0.9
,B2 (Upper-Intermediate),1.0,0.9,0.8,1.0,0.3,0.3
,A1 (Beginner),0.5,0.3,0.1,0.0,0.0,0.1
,B1 (Intermediate),0.8,0.6,0.6,0.6,0.3,0.1
,B1 (Intermediate),1.0,0.8,0.9,0.8,0.5,0.2
,B2 (Upper-Intermediate),1.0,0.9,1.0,1.0,0.7,0.7
,A2 (Elementary),1.0,0.8,0.7,0.6,0.5,0.7
,A2 (Elementary),0.9,0.6,0.6,0.7,0.0,0.1
,A2 (Elementary),1.0,0.8,0.8,0.7,0.4,0.3
,B1 (Intermediate),1.0,0.8,0.6,0.8,0.1,0.3
,B1 (Intermediate),1.0,0.8,0.8,1.0,0.4,0.5
,小1 (Advanced),1.0,1.0,1.0,1.0,0.7,0.3
,A2 (Elementary),1.0,0.6,0.3,0.5,0.1,0.1
,B2 (Upper-Intermediate),1.0,0.8,0.9,1.0,0.5,0.1
,A2 (Elementary),1.0,0.8,0.9,0.9,0.3,0.4
,B2 (Upper-Intermediate),1.0,0.9,0.7,0.9,0.3,0.2
,A2 (Elementary),1.0,0.5,0.5,0.6,0.3,0.1
,B1 (Intermediate),1.0,0.8,0.9,0.9,0.4,0.3
,A2 (Elementary),0.9,0.8,0.4,0.6,0.3,0.5
,B2 (Upper-Intermediate),1.0,1.0,0.9,1.0,0.6,0.3
,B1 (Intermediate),1.0,0.8,0.8,1.0,0.3,0.6
,B2 (Upper-Intermediate),1.0,0.9,0.9,0.9,0.6,0.6
,B1 (Intermediate),1.0,1.0,0.7,0.8,0.4,0.1
,B2 (Upper-Intermediate),1.0,0.8,0.7,0.8,0.3,0.1
,B1 (Intermediate),1.0,0.8,0.7,1.0,0.2,0.2
,B1 (Intermediate),1.0,0.9,1.0,1.0,0.7,0.5
,A2 (Elementary),0.8,0.4,0.2,0.4,0.1,0.0
,A1 (Beginner),0.6,0.5,0.7,0.6,0.7,0.5
,A2 (Elementary),1.0,0.6,0.3,0.6,0.1,0.2
,A2 (Elementary),0.8,0.4,0.1,0.4,0.0,0.0
,B1 (Intermediate),1.0,0.7,0.4,0.8,0.3,0.2
,B1 (Intermediate),1.0,0.8,0.7,0.8,0.3,0.3
,B2 (Upper-Intermediate),1.0,1.0,0.9,1.0,0.6,0.5
,C2 (Proficiency),1.0,1.0,1.0,1.0,0.9,0.9
,A1 (Beginner),0.7,0.0,0.0,0.0,0.0,0.0
,小1 (Advanced),1.0,1.0,1.0,1.0,0.6,0.5
,C2 (Proficiency),1.0,1.0,1.0,1.0,1.0,1.0
,C2 (Proficiency),1.0,1.0,1.0,1.0,1.0,0.9
,小1 (Advanced),1.0,1.0,1.0,1.0,0.9,0.4
,A1 (Beginner),0.9,0.1,0.0,0.1,0.0,0.0
